id,Title,Date,Rating,Review
@testA,Porsche 911,2024-03-15,5,"Carro ultra deportivo de excelentes prestaciones, único en su diseño, altamente customizable"
@testB,Mercedes-Benz Clase C,2024-02-20,4.5,"El baby Mercedes que merece ser denominado como Mercedes, elegante, ultra-tecnológico, diseño conservador, confort y lujo, podría mejorar en el manejo como un BMW"
@testC,Nissan Tsuru,2024-01-19,5,"Carro longevo de Nissan que es un excelente utilitario, facilmente de mantener y reparar, barato en refacciones, económico y motor altamente durable"
@testD,Volkswagen Vocho,2024-01-18,3,"El carro más icónico y que perduro mas en la historia automotriz de México, enfriado por aire, altamente rentable y buscado muchos por coleccionistas"
@testE,Chevrolet Spark,2024-01-17,2,"Carro pequeño, utilitario ya descontinuado. Barato. No tan popular pero utilizado mucho por sistemas de transporte como Uber y Didi. Facil de reparar"
@pakomonio,Suzuki SX4,2025-06-08,4,"Vehículo cómodo, espacioso, transmisión CVT de las mejores. Contra: aunque es un motor 2.0, se eleva el consumo de combustible más que el promedio de vehículos con la misma motorización"
@drkevorkian,Nissan XTrail,2025-06-08,5,"Negra la más equipada con quemacoco interiores asiento de piel color miel. Motor 2.4. Unico modelo que fue armado en Inglaterra. Excelente en todo: motor comodidad amplitud visibilidad, torque increíble 2008-2012"
@testH,Volkswagen Golf,2025-06-08,5,"Ese gol al parecer fue armado en Alemania, lo tomé con 10,000 km casi nuevo. Excelente, potentes espacioso muy buen sonido. Hice viajes de 1700 km sin parar"
@testI,Oldsmobile Cutlass Eurosport,2025-06-08,5,"Uno de los mejores tres coches que he tenido la vida. Lo tuve de 1994 -96"
@testJ,Honda Civic EXR,2025-06-08,5,"Auto espacioso, cómodo, ahorrador de gasolina."
@testK,Volkswagen Pointer,2025-06-08,3,"Auto con buen desempeño, pero materiales muy corrientes y plásticos que se rompen."
@testL,Honda CR-V,2025-06-08,4.5,"Vehículo muy espacioso, ahorrador de gasolina para su tamaño y motorización, confiable. El único contra es que es algo lento para ganar velocidad al acelerar pero con el modo S puedes hacer rebases"
@testM,Volkswagen T-Cross,2025-06-08,4,"Es una SUV  pequeña, espaciosa, cómoda, bien equipada."
@testN,BYD King,2025-06-08,5,"Review es un auto híbrido enchufable, confiable, cómodo super amplio, muy bien equipado y muy rendidor."
@testO,Nissan Sentra,2025-06-08,4,"Auto espacioso, economía, falla la caja de dirección"
@testP,Nissan March,2025-06-08,3,"Muy buen consumo ciudad/carretera, puede sostener buen ritmo en autopista, divertido de manejar, seguro barato; el servicio post venta de lo peor y se le está cayendo la pintura de las puertas traseras."
@testQ,Kia Forte,2025-06-08,3.5,"Cumplidor como auto de chamba, buen espacio interior y cajuela, buena respuesta en carretera, si se maneja a 110 km por hora el consumo es casi excelente, el Android es medio latoso, debería traer llave inteligente."
@testR,Toyota Hilux,2025-06-08,4,"ES UNA CAMIONETA SUPER GUERRERA, ES CONFIABLE, BUENA SUSPENSION, ES MÁS PARA TRABAJO RUDO, EL MOTOR NO ES DE MUCHO REBDIMIENTO 7KM/L PERO ME GUSTA MUCHO."
@testS,Nissan Pickup,2025-06-08,5,"Troquita básica, austera, sin nada, trabajadora, no pide más que su mantenimiento básico, hace 2 años aún pasaba en 0 en DF, buenaza para todo. Yo personalmente la llevé a Mérida."